日期,质量等级,AQI指数,当天AQI排名,PM2\.5,PM10,So2,No2,Co,O3
"
                                        2014-05-30","
                                       良","88
                                       ",76,51,117,13,39,0.69,78
"
                                        2014-05-31","
                                       良","51
                                       ",38,26,50,16,33,0.69,64
"
                                        2014-06-01","
                                       优","49
                                       ",49,26,53,6,42,0.85,30
"
                                        2014-06-02","
                                       良","56
                                       ",71,36,50,3,20,0.73,83
"
                                        2014-06-03","
                                       良","62
                                       ",87,42,63,7,21,0.69,93
"
                                        2014-06-04","
                                       良","85
                                       ",124,61,101,13,35,0.82,98
"
                                        2014-06-05","
                                       轻度污染","122
                                       ",170,84,136,18,45,0.95,116
"
                                        2014-06-06","
                                       轻度污染","121
                                       ",147,76,123,20,44,0.86,116
"
                                        2014-06-07","
                                       轻度污染","129
                                       ",173,89,149,17,43,1.00,119
"
                                        2014-06-08","
                                       良","95
                                       ",126,66,110,13,32,0.82,94
"
                                        2014-06-09","
                                       良","74
                                       ",115,45,79,14,25,0.66,75
"
                                        2014-06-10","
                                       良","53
                                       ",65,32,54,10,23,0.59,55
"
                                        2014-06-11","
                                       良","77
                                       ",110,53,87,17,33,0.63,81
"
                                        2014-06-12","
                                       轻度污染","113
                                       ",152,84,145,27,51,0.92,103
"
                                        2014-06-13","
                                       轻度污染","119
                                       ",136,71,120,18,41,0.79,121
"
                                        2014-06-14","
                                       轻度污染","138
                                       ",153,96,165,22,50,0.91,148
"
                                        2014-06-15","
                                       轻度污染","135
                                       ",150,84,143,26,47,0.86,102
"
                                        2014-06-16","
                                       良","71
                                       ",68,42,87,12,34,0.68,71
"
                                        2014-06-17","
                                       良","60
                                       ",67,42,58,4,41,1.24,39
"
                                        2014-06-18","
                                       良","100
                                       ",149,70,101,10,36,1.01,76
"
                                        2014-06-19","
                                       良","91
                                       ",143,54,98,19,41,0.79,89
"
                                        2014-06-20","
                                       优","45
                                       ",53,24,45,5,37,0.80,36
"
                                        2014-06-21","
                                       优","40
                                       ",35,25,34,3,35,0.75,36
"
                                        2014-06-22","
                                       优","42
                                       ",44,24,38,7,30,0.53,62
"
                                        2014-06-23","
                                       良","63
                                       ",79,43,71,12,42,0.63,49
"
                                        2014-06-24","
                                       良","64
                                       ",86,39,70,9,41,0.71,50
"
                                        2014-06-25","
                                       良","57
                                       ",84,37,62,7,42,0.63,48
"
                                        2014-06-26","
                                       良","72
                                       ",119,49,90,7,57,0.87,18
"
                                        2014-06-27","
                                       良","60
                                       ",96,42,55,8,55,0.95,26
"
                                        2014-06-28","
                                       良","71
                                       ",99,51,78,11,49,0.75,44
"
                                        2014-06-29","
                                       良","71
                                       ",105,49,82,9,46,0.80,41
"
                                        2014-06-30","
                                       良","81
                                       ",110,59,83,7,57,0.85,34
"
                                        2014-07-01","
                                       良","95
                                       ",123,70,106,9,54,1.26,48
"
                                        2014-07-02","
                                       良","80
                                       ",142,57,91,10,48,1.06,19
"
                                        2014-07-03","
                                       良","66
                                       ",77,44,67,8,35,0.90,73
"
                                        2014-07-04","
                                       轻度污染","129
                                       ",178,96,130,10,39,1.09,70
"
                                        2014-07-05","
                                       良","78
                                       ",133,55,99,10,44,0.98,36
"
                                        2014-07-06","
                                       优","47
                                       ",43,29,45,6,28,0.92,59
"
                                        2014-07-07","
                                       良","94
                                       ",149,69,102,14,38,0.98,94
"
                                        2014-07-08","
                                       良","79
                                       ",111,56,83,9,27,0.65,103
"
                                        2014-07-09","
                                       良","68
                                       ",101,47,79,8,27,0.74,69
"
                                        2014-07-10","
                                       轻度污染","102
                                       ",161,74,124,10,45,1.04,96
"
                                        2014-07-11","
                                       良","99
                                       ",118,73,111,6,36,1.02,83
"
                                        2014-07-12","
                                       良","61
                                       ",86,36,63,6,27,0.71,66
"
                                        2014-07-13","
                                       优","34
                                       ",21,21,26,4,30,0.81,55
"
                                        2014-07-14","
                                       良","53
                                       ",63,25,42,8,26,0.71,94
"
                                        2014-07-15","
                                       优","39
                                       ",39,18,27,6,38,0.66,50
"
                                        2014-07-16","
                                       优","43
                                       ",52,20,43,6,36,0.74,27
"
                                        2014-07-17","
                                       良","60
                                       ",82,28,63,7,33,0.65,67
"
                                        2014-07-18","
                                       良","52
                                       ",64,25,53,10,30,0.54,55
"
                                        2014-07-19","
                                       良","57
                                       ",78,29,61,9,32,0.51,62
"
                                        2014-07-20","
                                       良","94
                                       ",158,55,103,10,40,0.71,85
"
                                        2014-07-21","
                                       良","100
                                       ",179,52,95,11,35,0.65,107
"
                                        2014-07-22","
                                       良","76
                                       ",134,37,70,11,31,0.56,91
"
                                        2014-07-23","
                                       良","52
                                       ",76,25,53,21,25,0.50,55
"
                                        2014-07-24","
                                       优","37
                                       ",20,20,36,7,27,0.53,37
"
                                        2014-07-25","
                                       良","54
                                       ",69,34,56,5,21,0.74,74
"
                                        2014-07-26","
                                       轻度污染","126
                                       ",159,87,115,17,37,1.02,76
"
                                        2014-07-27","
                                       良","69
                                       ",75,41,59,7,31,0.78,65
"
                                        2014-07-28","
                                       良","66
                                       ",67,38,63,9,29,0.76,83
"
                                        2014-07-29","
                                       良","63
                                       ",48,28,58,10,29,0.66,79
"
                                        2014-07-30","
                                       良","75
                                       ",127,36,70,14,28,0.62,89
"
                                        2014-07-31","
                                       优","43
                                       ",38,24,41,8,20,0.54,38
"
                                        2014-08-01","
                                       优","27
                                       ",20,15,26,8,22,0.61,24
"
                                        2014-08-02","
                                       优","45
                                       ",51,27,44,6,17,0.69,48
"
                                        2014-08-03","
                                       良","60
                                       ",61,34,62,8,25,0.79,82
"
                                        2014-08-04","
                                       良","95
                                       ",142,58,105,13,38,0.92,93
"
                                        2014-08-05","
                                       良","91
                                       ",160,59,99,12,44,0.94,83
"
                                        2014-08-06","
                                       良","85
                                       ",165,55,87,9,38,0.89,87
"
                                        2014-08-07","
                                       良","84
                                       ",173,54,89,11,41,0.95,86
"
                                        2014-08-09","
                                       良","66
                                       ",132,44,69,10,28,0.90,78
"
                                        2014-08-10","
                                       良","57
                                       ",81,39,56,10,25,0.90,61
"
                                        2014-08-11","
                                       良","88
                                       ",130,64,92,14,46,1.16,58
"
                                        2014-08-12","
                                       良","59
                                       ",90,39,62,10,45,0.77,53
"
                                        2014-08-13","
                                       良","71
                                       ",138,40,73,16,36,0.83,74
"
                                        2014-08-14","
                                       优","40
                                       ",40,27,33,8,30,1.09,45
"
                                        2014-08-15","
                                       优","40
                                       ",23,26,41,9,40,1.07,39
"
                                        2014-08-16","
                                       良","78
                                       ",111,53,81,18,45,1.02,46
"
                                        2014-08-17","
                                       优","38
                                       ",24,25,34,10,28,0.78,56
"
                                        2014-08-18","
                                       优","41
                                       ",36,28,33,8,37,0.99,41
"
                                        2014-08-19","
                                       优","42
                                       ",51,29,30,9,41,0.92,46
"
                                        2014-08-20","
                                       优","40
                                       ",39,26,33,9,40,0.79,45
"
                                        2014-08-21","
                                       良","80
                                       ",91,50,75,12,30,0.84,84
"
                                        2014-08-23","
                                       良","79
                                       ",109,54,96,14,43,0.92,63
"
                                        2014-08-24","
                                       良","63
                                       ",124,40,73,12,30,0.82,62
"
                                        2014-08-25","
                                       良","58
                                       ",74,37,53,10,21,0.89,103
"
                                        2014-08-26","
                                       轻度污染","113
                                       ",177,79,107,17,34,1.06,88
"
                                        2014-08-27","
                                       良","62
                                       ",87,41,65,14,40,0.79,71
"
                                        2014-08-28","
                                       良","89
                                       ",159,63,106,19,45,1.02,73
"
                                        2014-08-29","
                                       良","65
                                       ",120,45,64,10,30,0.93,53
"
                                        2014-08-30","
                                       良","95
                                       ",166,70,99,18,37,1.13,80
"
                                        2014-08-31","
                                       良","90
                                       ",168,63,102,23,37,0.86,91
"
                                        2014-09-01","
                                       良","61
                                       ",123,42,61,9,29,0.82,50
"
                                        2014-09-02","
                                       良","54
                                       ",112,34,57,10,31,0.73,39
"
                                        2014-09-03","
                                       优","38
                                       ",44,23,36,7,24,0.70,59
"
                                        2014-09-04","
                                       良","90
                                       ",164,62,88,13,28,0.87,110
"
                                        2014-09-05","
                                       轻度污染","148
                                       ",188,101,141,30,46,1.03,116
"
                                        2014-09-06","
                                       良","93
                                       ",138,63,89,16,32,0.85,83
"
                                        2014-09-07","
                                       良","81
                                       ",110,58,87,16,31,0.85,88
"
                                        2014-09-08","
                                       良","83
                                       ",127,58,84,17,30,0.85,78
"
                                        2014-09-09","
                                       良","66
                                       ",104,46,67,11,27,0.83,66
"
                                        2014-09-10","
                                       良","69
                                       ",103,49,69,11,28,0.79,61
"
                                        2014-09-11","
                                       良","61
                                       ",105,39,62,16,33,0.79,61
"
                                        2014-09-12","
                                       良","81
                                       ",179,56,91,22,40,0.98,71
"
                                        2014-09-13","
                                       优","48
                                       ",83,33,40,11,38,1.09,31
"
                                        2014-09-14","
                                       优","50
                                       ",93,29,51,15,37,0.75,44
"
                                        2014-09-15","
                                       优","45
                                       ",65,19,42,13,27,0.58,58
"
                                        2014-09-16","
                                       优","49
                                       ",82,28,50,15,32,0.65,64
"
                                        2014-09-17","
                                       良","81
                                       ",184,46,81,20,37,0.78,80
"
                                        2014-09-18","
                                       优","48
                                       ",78,32,42,10,34,0.64,53
"
                                        2014-09-19","
                                       优","49
                                       ",50,34,36,8,39,0.90,47
"
                                        2014-09-20","
                                       良","73
                                       ",131,49,71,13,37,1.07,77
"
                                        2014-09-21","
                                       良","55
                                       ",76,26,48,13,33,0.56,73
"
                                        2014-09-22","
                                       优","37
                                       ",15,22,35,9,28,0.58,61
"
                                        2014-09-23","
                                       优","25
                                       ",8,10,15,4,23,0.72,41
"
                                        2014-09-24","
                                       优","45
                                       ",35,28,50,8,26,0.73,54
